customer_state,customer_city,total_customers,total_orders,avg_orders_per_customer
SP,"sao paulo",14984,15540,1.04
RJ,"rio de janeiro",6620,6882,1.04
MG,"belo horizonte",2672,2773,1.04
DF,brasilia,2069,2131,1.03
PR,curitiba,1465,1521,1.04
SP,campinas,1398,1444,1.03
RS,"porto alegre",1326,1379,1.04
BA,salvador,1209,1245,1.03
SP,guarulhos,1153,1189,1.03
SP,"sao bernardo do campo",908,938,1.03
RJ,niteroi,811,849,1.05
SP,"santo andre",768,796,1.04
SP,osasco,717,746,1.04
SP,santos,692,713,1.03
GO,goiania,671,692,1.03
SP,"sao jose dos campos",666,691,1.04
CE,fortaleza,643,654,1.02
SP,sorocaba,610,633,1.04
PE,recife,590,613,1.04
SC,florianopolis,546,570,1.04
SP,jundiai,547,565,1.03
SP,"ribeirao preto",489,510,1.04
PA,belem,432,443,1.03
RJ,"nova iguacu",432,442,1.02
SP,barueri,419,433,1.03
MG,"juiz de fora",415,427,1.03
MG,contagem,417,426,1.02
RJ,"sao goncalo",399,409,1.03
SP,"mogi das cruzes",371,383,1.03
ES,vitoria,366,379,1.04
MG,uberlandia,367,374,1.02
SP,piracicaba,360,369,1.03
MA,"sao luis",341,353,1.04
SP,"sao jose do rio preto",330,335,1.02
ES,"vila velha",325,334,1.03
SP,carapicuiba,320,328,1.03
SP,maua,314,323,1.03
MS,"campo grande",315,320,1.02
SP,"praia grande",292,311,1.07
PR,londrina,298,306,1.03
SP,"taboao da serra",285,296,1.04
SP,diadema,274,286,1.04
ES,serra,278,285,1.03
PI,teresina,271,281,1.04
SP,indaiatuba,269,280,1.04
SP,"sao caetano do sul",267,277,1.04
SP,bauru,267,273,1.02
PR,maringa,261,271,1.04
SP,taubate,266,270,1.02
RJ,"duque de caxias",262,266,1.02
SC,joinville,260,264,1.02
PB,"joao pessoa",241,256,1.06
SP,cotia,244,250,1.02
MT,cuiaba,242,248,1.02
AL,maceio,243,247,1.02
RJ,petropolis,220,240,1.09
RJ,macae,232,239,1.03
RJ,"campos dos goytacazes",235,238,1.01
SP,"sao carlos",226,236,1.04
SP,suzano,222,234,1.05
RJ,"volta redonda",226,232,1.03
SP,guaruja,215,226,1.05
